filename,event_type,start_state,end_state,duration_seconds,resolution,fps,file_size_bytes,validation_status,thumbnail_first,thumbnail_mid,thumbnail_last,notes
assets/video/preflight_test.mp4,preflight_test,live game loaded,short spin and UI motion visible,32.20,1864x860,25,15015002,VALID,assets/video-thumbs/preflight_test_first.jpg,assets/video-thumbs/preflight_test_mid.jpg,assets/video-thumbs/preflight_test_last.jpg,Method 1 screencast pre-flight clip; non-black and non-frozen
assets/video/video_01_idle_to_spin.mp4,idle_to_spin,idle HUD,spin start triggered,10.64,1864x860,25,7263059,VALID,assets/video-thumbs/video_01_idle_to_spin_first.jpg,assets/video-thumbs/video_01_idle_to_spin_mid.jpg,assets/video-thumbs/video_01_idle_to_spin_last.jpg,Idle-to-spin transition capture
assets/video/video_02_losing_spin.mp4,losing_spin_probe,spin-ready,settled losing result,16.36,1864x860,25,6233313,VALID,assets/video-thumbs/video_02_losing_spin_first.jpg,assets/video-thumbs/video_02_losing_spin_mid.jpg,assets/video-thumbs/video_02_losing_spin_last.jpg,Captured losing result with zero win state
assets/video/video_03_nonzero_win.mp4,nonzero_win,spin-ready,settled non-zero win,14.40,1864x860,25,8871641,VALID,assets/video-thumbs/video_03_nonzero_win_first.jpg,assets/video-thumbs/video_03_nonzero_win_mid.jpg,assets/video-thumbs/video_03_nonzero_win_last.jpg,Captured non-zero win (observed Win: 2.4 during recording)
assets/video/video_04_menu_overlay.mp4,menu_overlay,main HUD,burger menu opened and closed,10.80,1864x860,25,2395977,VALID,assets/video-thumbs/video_04_menu_overlay_first.jpg,assets/video-thumbs/video_04_menu_overlay_mid.jpg,assets/video-thumbs/video_04_menu_overlay_last.jpg,Menu open/close interaction captured
assets/video/video_05_rules_or_howto.mp4,rules_howto_overlay,menu open,rules modal opened then closed,18.64,1864x860,25,3694822,VALID,assets/video-thumbs/video_05_rules_or_howto_first.jpg,assets/video-thumbs/video_05_rules_or_howto_mid.jpg,assets/video-thumbs/video_05_rules_or_howto_last.jpg,Rules modal interaction captured
assets/video/video_06_bet_change_and_jackpots.mp4,bet_and_jackpot_change,base bet visible,multiple bet levels shown with jackpot value changes,20.88,1864x860,25,5478796,VALID,assets/video-thumbs/video_06_bet_change_and_jackpots_first.jpg,assets/video-thumbs/video_06_bet_change_and_jackpots_mid.jpg,assets/video-thumbs/video_06_bet_change_and_jackpots_last.jpg,Bet plus/minus sequence shows >=3 levels
assets/video/video_07_hold_for_turbo_probe.mp4,hold_for_turbo_probe,spin start,hold input applied on turbo control,16.28,1864x860,25,7825886,VALID,assets/video-thumbs/video_07_hold_for_turbo_probe_first.jpg,assets/video-thumbs/video_07_hold_for_turbo_probe_mid.jpg,assets/video-thumbs/video_07_hold_for_turbo_probe_last.jpg,Hold-for-turbo input attempted during active spin
assets/video/video_08_autoplay_probe.mp4,autoplay_probe,idle controls visible,probe click + manual spin; no continuous autoplay observed,28.20,1864x860,25,26123309,VALID,assets/video-thumbs/video_08_autoplay_probe_first.jpg,assets/video-thumbs/video_08_autoplay_probe_mid.jpg,assets/video-thumbs/video_08_autoplay_probe_last.jpg,No sustained automatic spin sequence observed after probe click
assets/video/video_09_buy_bonus_probe.mp4,buy_bonus_probe,BUY BONUS visible on canvas,buy-bonus area clicked; no modal observed,31.20,1864x860,25,17684001,VALID,assets/video-thumbs/video_09_buy_bonus_probe_first.jpg,assets/video-thumbs/video_09_buy_bonus_probe_mid.jpg,assets/video-thumbs/video_09_buy_bonus_probe_last.jpg,Canvas clicks at BUY BONUS area showed no visible modal/options
assets/video/video_10_special_effect_or_collect_state.mp4,special_effect_capture,spin-ready,special/multiplier-style visual state shown,21.76,1864x860,25,14133277,VALID,assets/video-thumbs/video_10_special_effect_or_collect_state_first.jpg,assets/video-thumbs/video_10_special_effect_or_collect_state_mid.jpg,assets/video-thumbs/video_10_special_effect_or_collect_state_last.jpg,Multi-spin clip with special coin/multiplier visual moments
assets/video/video_11_twenty_spins_continuous.mp4,twenty_spins_continuous,spin-ready,20 spins completed continuously,50.48,1864x860,25,22091602,VALID,assets/video-thumbs/video_11_twenty_spins_continuous_first.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_mid.jpg,assets/video-thumbs/video_11_twenty_spins_continuous_last.jpg,Continuous 20-spin run with timestamped spin log
